# FOF_ID M_FOF[10^10 Msun/h] Vmax [km/s] Pos_xyz [kpc/h] Vel_xyz [km/s]
113044 27.034861 403.717346 80210.695312 121134.164062 194333.828125 752.520325 -372.095367 -428.194794
13037 349.088470 788.141602 192539.859375 143333.203125 182762.078125 218.228378 -153.542038 113.582184
13121 272.125702 747.375977 41624.375000 77994.562500 160886.078125 -344.835083 -148.052567 -635.974365
14201 214.644135 811.386414 69979.132812 143633.078125 134642.390625 167.402390 -175.888779 -98.048744
13043 244.603760 773.074585 148025.109375 65606.656250 78567.093750 -103.223915 -85.000435 -108.368736
10351 338.565338 715.674744 124027.617188 79236.445312 180007.203125 205.675064 -315.772278 444.879974
10954 369.437897 736.705688 15856.355469 7235.955566 154586.359375 3.725634 149.469330 -195.294449
9221 409.631989 546.929260 41003.015625 93053.210938 15303.888672 239.527664 16.151291 -379.795685
9411 283.740326 640.688171 9323.122070 194119.203125 45514.835938 308.919189 -1.806579 173.181610
9777 156.579865 659.788818 23184.656250 181097.125000 125409.289062 -22.193415 115.030846 -122.023323
9045 404.861053 733.724182 54722.078125 839.661072 136942.515625 24.954615 360.477539 -14.603683
8989 461.509857 700.859436 31032.679688 58484.402344 170814.562500 409.662811 57.739925 -116.815010
6053 381.868927 362.100830 6758.437500 123095.078125 72221.601562 111.752686 200.655838 98.117851
8727 272.201111 653.081482 135024.015625 75981.046875 10508.083008 -412.296539 262.367523 -124.909203
7947 315.349701 661.825745 185876.031250 115340.046875 167881.875000 -230.516174 -661.631226 457.806549
7061 558.341736 606.106262 100635.421875 74674.632812 116070.250000 -248.309647 -105.681847 -166.633957
7286 516.812561 565.667847 135052.359375 85362.351562 66832.585938 143.614288 -268.148102 -469.979919
6994 600.114929 615.098877 78310.562500 38833.148438 160290.750000 -414.495300 373.689545 -302.923553
5688 704.400696 431.230408 37572.394531 97370.984375 108361.703125 531.327148 -60.073853 568.942566
6352 680.927490 613.178589 194005.625000 183956.687500 83091.828125 72.160744 151.098663 249.126633
4790 784.412598 545.922607 26474.765625 204925.406250 188968.203125 -35.247494 474.153442 -93.225441
5768 734.469055 484.306091 91749.812500 204950.046875 43308.480469 46.714798 125.277191 164.486557
5622 655.944397 498.355042 43933.417969 165968.171875 38135.097656 288.292480 207.395905 572.503601
6190 626.017822 602.493469 84110.468750 3003.626465 196327.015625 -106.364128 355.294098 17.759693
