# FOF_ID M_FOF[10^10 Msun/h] Vmax [km/s] Pos_xyz [kpc/h] Vel_xyz [km/s]
113044 27.034861 330.701508 79613.742188 121001.734375 194487.078125 1018.253723 -155.602341 -545.814087
13037 349.088470 259.021820 192398.921875 143204.453125 182234.281250 127.714424 -190.055710 298.725708
13121 272.125702 374.313934 41484.625000 77920.335938 161565.390625 -946.864136 -123.667786 -677.933655
14201 214.644135 186.689789 69627.429688 143653.656250 134986.171875 1019.091003 -396.844696 -619.710571
13043 244.603760 316.731659 147517.531250 65535.089844 78503.445312 -481.004395 89.360924 -62.698551
10351 338.565338 325.404205 123361.265625 79431.210938 179552.437500 745.239258 -90.242477 1037.601562
912 4172.329102 336.276489 16379.462891 7130.795898 156274.468750 -155.210587 302.342346 -584.682922
9221 409.631989 354.653778 40730.460938 92786.125000 16011.565430 253.867416 62.199249 -56.867439
9411 283.740326 311.633514 8918.032227 193808.171875 45344.992188 578.026917 287.576172 517.907898
9777 156.579865 254.113983 23079.039062 181347.859375 126011.515625 -331.781891 -41.834602 -1008.886536
9045 404.861053 251.643021 54914.019531 668.917114 137356.625000 463.327209 302.529053 5.485094
8989 461.509857 202.730850 30333.746094 58749.050781 170673.828125 713.857788 -11.453506 -360.396301
6053 381.868927 286.641876 6711.067871 122549.703125 72338.882812 217.393951 330.654266 91.210747
8727 272.201111 270.902313 134953.281250 76492.437500 11263.842773 -507.566925 94.042198 -59.147724
7947 315.349701 363.085938 185095.468750 115298.453125 167818.578125 417.012360 -467.279053 460.121033
7061 558.341736 190.784821 100044.695312 74375.070312 116118.945312 -250.545273 -5.790507 -432.729340
7286 516.812561 298.041565 135528.453125 85394.289062 66721.843750 -50.672562 -403.839355 -159.802124
6994 600.114929 223.670517 78886.945312 38364.707031 160004.125000 -444.242432 389.598297 -719.141052
5688 704.400696 318.386139 37407.941406 96926.007812 108331.171875 692.702026 194.241379 539.494934
6352 680.927490 220.368896 193778.187500 184207.687500 83564.687500 -185.031540 304.521332 309.208435
4790 784.412598 379.155609 27922.480469 953.117737 188735.968750 -254.312088 182.409241 -70.828918
5768 734.469055 392.225922 91820.351562 204402.812500 43736.070312 -264.764709 226.189392 342.731720
5622 655.944397 435.282898 44817.238281 165994.609375 37999.632812 -326.300323 -15.874106 646.136108
6190 626.017822 204.475342 83920.445312 3538.259277 196116.718750 -71.002014 215.555374 46.720955
6408 544.795837 210.622955 60144.921875 83587.234375 192296.843750 340.688110 106.290298 278.659882
3665 1165.823486 386.012726 101054.328125 25284.050781 119026.921875 -512.296631 284.377319 297.546509
4928 829.594238 367.860107 49728.472656 187812.765625 73567.523438 259.727448 159.114487 224.084579
5827 698.013184 286.730804 26703.398438 36409.683594 142126.328125 1221.354736 -120.288361 32.242683
4768 806.338074 230.119858 98090.718750 5236.158691 41022.203125 -615.650574 -251.737701 -297.270630
5709 626.333618 240.384048 55355.957031 61575.578125 130911.429688 -64.985504 -266.617950 688.807617
5555 749.979919 224.054886 5932.493652 106591.023438 24366.380859 105.579109 -441.952545 -267.229218
4005 1063.712036 426.998749 139212.578125 2556.783936 1390.712402 -326.950226 5.872554 237.390350
4063 969.489502 331.748077 70540.101562 64273.917969 42269.816406 -168.699112 -189.858200 -9.797996
5158 795.974243 429.523010 99307.671875 65604.406250 196011.250000 147.392090 297.527191 206.897308
5530 347.271851 230.846588 8377.969727 103540.398438 191335.546875 -104.806549 -131.358902 -369.133392
4842 817.659790 358.261353 14890.335938 10789.451172 136013.375000 42.770412 305.172058 36.088814
4659 817.708740 305.926910 161364.062500 52192.773438 84300.609375 -2.554078 -43.468456 237.791367
5362 791.608765 252.277390 127537.054688 131144.421875 22388.279297 112.775520 43.853882 364.114990
5294 640.228210 216.971420 197091.156250 183324.296875 86164.171875 -608.331360 165.124130 -64.519905
5187 774.534668 338.680298 105394.296875 192375.140625 158139.218750 -36.742180 -145.477707 -330.833252
5444 469.685486 273.095734 67473.257812 41894.402344 155687.906250 -633.550964 589.178345 -29.882570
5281 783.986694 245.451523 110148.710938 11096.071289 8599.596680 3.524605 513.439209 -132.993683
4662 855.403931 331.424255 62791.578125 34750.242188 164494.375000 137.172318 436.426392 -326.044128
5086 765.847900 376.990387 58117.867188 180000.250000 13795.714844 89.313530 -81.163406 669.136780
3938 1037.486816 272.734375 126660.890625 126279.148438 84498.820312 -70.430222 173.948547 -242.223572
201 13043.428711 215.377060 36086.156250 88034.000000 161710.078125 68.130630 -79.643814 -47.513241
4850 845.194519 210.993484 167976.125000 23907.914062 193978.546875 205.876068 584.875366 -455.256165
341 9190.479492 263.346954 76901.976562 69346.890625 48877.250000 669.202637 136.042297 -375.843353
4749 698.296814 312.764221 173616.890625 161911.390625 64712.652344 260.756073 122.082649 -287.110870
4187 909.352112 337.627716 99083.523438 123656.328125 80877.210938 88.790352 -683.186157 46.767998
4583 805.653625 316.312805 19215.576172 77751.328125 143982.406250 729.007690 538.627930 -266.233124
4560 606.974792 230.913849 66854.992188 57576.902344 45068.292969 -53.192467 -210.297974 -286.308044
3100 1347.468994 247.481186 48854.480469 93834.148438 123188.078125 16.083380 193.310410 386.333923
2495 920.533997 456.332733 59351.574219 124117.828125 113256.406250 -621.109009 -193.264267 -56.003952
4399 962.085754 338.982513 191249.515625 93468.828125 12213.475586 -565.198975 320.104645 -444.810791
3713 1060.598877 268.704071 168009.453125 78975.679688 171046.234375 220.192459 238.731232 -59.535561
3495 1220.251831 293.040070 59249.492188 148508.437500 99982.164062 -173.045441 -270.810120 23.935631
4316 921.182068 282.668152 39315.550781 112470.742188 124428.570312 -219.097153 -202.634460 334.381622
4187 909.352112 256.006927 178093.062500 192479.796875 43810.839844 -74.375290 -440.606537 -170.889771
726 5074.901855 289.760254 148480.671875 37217.398438 163494.781250 439.778534 579.520813 -560.450256
4306 871.976501 315.849701 121510.289062 162013.906250 119322.812500 -717.572937 -41.763138 232.961716
3992 938.575378 295.359039 172112.578125 174292.656250 94737.015625 -158.409958 -106.060356 -57.378407
3891 804.847839 351.497162 91846.531250 83339.281250 36476.562500 -331.391235 -393.135284 -59.649647
4165 810.391541 221.014816 75012.890625 97871.898438 124904.554688 -118.646271 130.185333 -551.993103
4044 978.101440 246.212509 59795.816406 1036.911621 76443.937500 66.367935 -602.119751 189.035507
4111 941.381348 209.627686 22188.302734 133631.781250 45276.496094 199.504166 -579.651855 83.743065
4080 462.957031 246.673309 157432.328125 182213.750000 153160.109375 324.710571 689.640198 350.358337
4136 991.912964 211.814392 71176.046875 1182.073975 69404.742188 33.717194 -414.255798 231.581680
4144 1013.626404 217.271286 96256.476562 54641.421875 123800.039062 407.387360 128.389099 -175.072342
4008 1007.818359 217.728226 55656.046875 27789.896484 82082.750000 182.761963 -118.610497 -126.303276
1660 2238.223145 436.308868 200659.453125 102268.710938 81407.476562 30.918051 -267.709351 79.479889
4001 914.412170 208.220078 142454.109375 81359.812500 139359.296875 94.917900 -370.250824 326.929962
4084 845.671143 225.581024 21645.279297 188699.343750 62468.785156 242.629883 -705.256958 -73.557327
